© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Workspace	My Projects
Project	AIH_WGCNA
Analysis	top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Date	Thu May 09 22:09:57 PDT 2019
Analysis ID	17791075

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Axonal Guidance Signaling	5.13E-01	NaN	2.00E-03	KEL,	
Xenobiotic Metabolism Signaling	7.03E-01	NaN	3.30E-03	FTL,	
Sirtuin Signaling Pathway	7.17E-01	NaN	3.42E-03	SLC2A1,	
AMPK Signaling	8.19E-01	NaN	4.42E-03	SLC2A1,	
NRF2-mediated Oxidative Stress Response	8.56E-01	NaN	4.85E-03	FTL,	
Acute Phase Response Signaling	9.13E-01	NaN	5.59E-03	FTL,	
Iron homeostasis signaling pathway	1.02E00	NaN	7.30E-03	FTL,	
HIF1α Signaling	1.05E00	NaN	7.75E-03	SLC2A1,	
Antioxidant Action of Vitamin C	1.11E00	NaN	9.01E-03	SLC2A1,	
TR/RXR Activation	1.15E00	NaN	1.00E-02	SLC2A1,	
IL-7 Signaling Pathway	1.19E00	NaN	1.08E-02	SLC2A1,	
Renal Cell Carcinoma Signaling	1.19E00	NaN	1.08E-02	SLC2A1,	
Autophagy	1.36E00	NaN	1.64E-02	CTSB,	
SPINK1 Pancreatic Cancer Pathway	1.37E00	NaN	1.67E-02	CTSB,	
PFKFB4 Signaling Pathway	1.48E00	NaN	2.17E-02	HK1,	
BAG2 Signaling Pathway	1.51E00	NaN	2.33E-02	CTSB,	
Inflammasome pathway	1.84E00	NaN	5.00E-02	CTSB,	
Vitamin-C Transport	1.94E00	NaN	6.25E-02	SLC2A1,	
Glucose and Glucose-1-phosphate Degradation	2.1E00	NaN	9.09E-02	HK1,	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.1E00	NaN	9.09E-02	HK1,	
GDP-glucose Biosynthesis	2.14E00	NaN	1.00E-01	HK1,	
Phagosome Maturation	2.3E00	NaN	1.35E-02	RILP,CTSB	
Trehalose Degradation II (Trehalase)	2.44E00	NaN	2.00E-01	HK1,	

Upstream Regulators for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Analysis	ID	Upstream Regulator	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	dichloroacetic acid	chemical drug	 	 	 	 	 	1.53E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TNFSF11	cytokine	 	 	 	 	 	1.57E-02	BSG,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CRHR2	g-protein coupled receptor	 	 	 	 	 	1.61E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	L-tryptophan	chemical - endogenous mammalian	 	 	 	 	 	1.61E-02	SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ketamine	chemical drug	 	 	 	 	 	1.61E-02	HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ALDH2	enzyme	 	 	 	 	 	1.68E-02	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NFE2	transcription regulator	 	 	 	 	 	1.68E-02	KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SEMA7A	transmembrane receptor	 	 	 	 	 	1.68E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	MAPT	other	 	 	 	 	 	1.70E-02	BSG,HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	cisplatin	chemical drug	 	 	 	 	 	1.79E-02	CTSB,HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Calcineurin A	group	 	 	 	 	 	1.82E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	HEXIM1	transcription regulator	 	 	 	 	 	1.82E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	BMPR1B	kinase	 	 	 	 	 	1.90E-02	KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	EIF4EBP1	translation regulator	 	 	 	 	 	1.90E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NOS1	enzyme	 	 	 	 	 	1.90E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SKP2	enzyme	 	 	 	 	 	1.90E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	arsenic	chemical toxicant	 	 	 	 	 	1.90E-02	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	GATA1	transcription regulator	 	 	 	 	 	1.93E-02	KLF1,LYL1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	RXRA	ligand-dependent nuclear receptor	 	 	 	 	 	1.97E-02	CTSB,FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	hydroxypropyl-beta-cyclodextrin	chemical drug	 	 	 	 	 	1.97E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	VEGFA	growth factor	 	 	 	 	 	1.98E-02	CTSB,HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CD47	transmembrane receptor	 	 	 	 	 	2.04E-02	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CA4	enzyme	 	 	 	 	 	2.11E-02	KEL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NPC2	transporter	 	 	 	 	 	2.11E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SMAD5	transcription regulator	 	 	 	 	 	2.11E-02	KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	UBE2I	enzyme	 	 	 	 	 	2.11E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	indican	chemical - endogenous mammalian	 	 	 	 	 	2.19E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IFRD1	other	 	 	 	 	 	2.26E-02	HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TG	other	 	 	 	 	 	2.26E-02	KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TRPM2	ion channel	 	 	 	 	 	2.26E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NOX4	enzyme	 	 	 	 	 	2.33E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Stat3-Stat3	complex	 	 	 	 	 	2.33E-02	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	everolimus	chemical drug	 	 	 	 	 	2.33E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SLC16A2	transporter	 	 	 	 	 	2.40E-02	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	lactic acid	chemical - endogenous mammalian	 	 	 	 	 	2.40E-02	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	mir-150	microrna	 	 	 	 	 	2.40E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ABCG1	transporter	 	 	 	 	 	2.47E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Secretase gamma	complex	 	 	 	 	 	2.47E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	arginine	chemical - endogenous mammalian	 	 	 	 	 	2.47E-02	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IL1	group	 	 	 	 	 	2.59E-02	CTSB,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	MTOR	kinase	 	 	 	 	 	2.64E-02	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	APP	other	 	 	 	 	 	2.64E-02	BSG,CTSB,HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ELANE	peptidase	 	 	 	 	 	2.69E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	XDH	enzyme	 	 	 	 	 	2.69E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	APR-246	chemical drug	 	 	 	 	 	2.76E-02	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NR1D1	ligand-dependent nuclear receptor	 	 	 	 	 	2.76E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SPRY2	other	 	 	 	 	 	2.76E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	nitrofen	chemical toxicant	 	 	 	 	 	2.76E-02	HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CARM1	transcription regulator	 	 	 	 	 	2.83E-02	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Cdc42	enzyme	 	 	 	 	 	2.83E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NEDD9	other	 	 	 	 	 	2.83E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TFEB	transcription regulator	 	 	 	 	 	2.83E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	bromocriptine	chemical drug	 	 	 	 	 	2.83E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ABL1	kinase	 	 	 	 	 	2.90E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	FLT3	kinase	 	 	 	 	 	2.90E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PLAUR	transmembrane receptor	 	 	 	 	 	2.90E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IRS2	enzyme	 	 	 	 	 	2.97E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	KCNK9	ion channel	 	 	 	 	 	2.97E-02	KEL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	T3-TR-RXR	complex	 	 	 	 	 	2.97E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	nonylphenol	chemical toxicant	 	 	 	 	 	2.97E-02	SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IFNE	cytokine	 	 	 	 	 	3.05E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PCGEM1	other	 	 	 	 	 	3.05E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PKM	kinase	 	 	 	 	 	3.05E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	troglitazone	chemical drug	 	 	 	 	 	3.08E-02	OSBP2,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	4-hydroxynonenal	chemical toxicant	 	 	 	 	 	3.12E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	D-galactosamine	chemical - endogenous mammalian	 	 	 	 	 	3.12E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ibuprofen	chemical drug	 	 	 	 	 	3.12E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	APLN	other	 	 	 	 	 	3.19E-02	LYL1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SKIL	transcription regulator	 	 	 	 	 	3.19E-02	SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	advanced glycation end-products	chemical - endogenous mammalian	 	 	 	 	 	3.19E-02	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	A2M	transporter	 	 	 	 	 	3.26E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IDH1	enzyme	 	 	 	 	 	3.26E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	LPL	enzyme	 	 	 	 	 	3.26E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PSEN1	peptidase	 	 	 	 	 	3.31E-02	BSG,HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ABCA1	transporter	 	 	 	 	 	3.33E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Hbb-b2	other	 	 	 	 	 	3.33E-02	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	MYBL2	transcription regulator	 	 	 	 	 	3.33E-02	SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SPHK1	kinase	 	 	 	 	 	3.33E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IL13	cytokine	 	 	 	 	 	3.37E-02	CTSB,HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Insulin	group	 	 	 	 	 	3.37E-02	FTL,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	INSR	kinase	 	 	 	 	 	3.40E-02	CTSB,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	FGF21	growth factor	 	 	 	 	 	3.40E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SIRT3	enzyme	 	 	 	 	 	3.40E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	genistein	chemical drug	 	 	 	 	 	3.43E-02	CTSB,SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TAF7L	transcription regulator	 	 	 	 	 	3.55E-02	HK1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	APOA1	transporter	 	 	 	 	 	3.69E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	MSTN	growth factor	 	 	 	 	 	3.76E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	MTORC1	complex	 	 	 	 	 	3.76E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	inosine	chemical - endogenous mammalian	 	 	 	 	 	3.76E-02	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	BAX	transporter	 	 	 	 	 	3.83E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CD3 group	group	 	 	 	 	 	3.83E-02	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	miR-133a-3p (and other miRNAs w/seed UUGGUCC)	mature microrna	 	 	 	 	 	3.83E-02	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	salirasib	chemical drug	 	 	 	 	 	3.83E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NFE2L2	transcription regulator	 	 	 	 	 	3.86E-02	FTL,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NKX3-1	transcription regulator	 	 	 	 	 	3.90E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SHC1	other	 	 	 	 	 	3.90E-02	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	iron	chemical - endogenous mammalian	 	 	 	 	 	3.90E-02	FTL	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Ccl2	cytokine	 	 	 	 	 	3.97E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	FGF10	growth factor	 	 	 	 	 	3.97E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ELK1	transcription regulator	 	 	 	 	 	4.04E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	H2AFY	other	 	 	 	 	 	4.04E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	di(2-ethylhexyl) phthalate	chemical toxicant	 	 	 	 	 	4.04E-02	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	pirinixic acid	chemical toxicant	 	 	 	 	 	4.10E-02	BSG,CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	NCOR2	transcription regulator	 	 	 	 	 	4.11E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SCD	enzyme	 	 	 	 	 	4.18E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	rotenone	chemical toxicant	 	 	 	 	 	4.18E-02	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	butyric acid	chemical - endogenous mammalian	 	 	 	 	 	4.20E-02	HK1,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CSHL1	growth factor	 	 	 	 	 	4.25E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CHD4	enzyme	 	 	 	 	 	4.33E-02	KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TYROBP	transmembrane receptor	 	 	 	 	 	4.33E-02	SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SNAI2	transcription regulator	 	 	 	 	 	4.40E-02	BSG	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	EGLN1	enzyme	 	 	 	 	 	4.47E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	Hif1	complex	 	 	 	 	 	4.47E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PDCD1	phosphatase	 	 	 	 	 	4.47E-02	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	TSH	complex	 	 	 	 	 	4.68E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	IGF1	growth factor	 	 	 	 	 	4.72E-02	BSG,SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CRH	cytokine	 	 	 	 	 	4.75E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	SGK1	kinase	 	 	 	 	 	4.75E-02	SLC1A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	caffeine	chemical drug	 	 	 	 	 	4.75E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	infliximab	biologic drug	 	 	 	 	 	4.75E-02	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	HIPK2	kinase	 	 	 	 	 	4.82E-02	KLF1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	PLAU	peptidase	 	 	 	 	 	4.89E-02	SLC2A1	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	ANXA7	ion channel	 	 	 	 	 	4.96E-02	CTSB	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	CTLA4	transmembrane receptor	 	 	 	 	 	4.96E-02	SLC7A5	 	
top_hub_genes_F03_F4 - 2019-05-09 10:09 PM	 	GDNF	growth factor	 	 	 	 	 	4.96E-02	CTSB	 	

Causal Networks for My Projects->AIH_WGCNA->top_hub_genes_F03_F4 - 2019-05-09 10:09 PM
Master Regulator	Molecule Type	Depth	Predicted Activation State	Notes	Activation z-score	p-value of overlap	Network bias-corrected p-value	Participating regulators	Target molecules in dataset	Causal network	Target-connected regulators	Relationships Between Master Regulators(Increases/Downstream)	Relationships Between Master Regulators(Decreases/Downstream)	Relationships Between Master Regulators(Affects/Downstream)	Relationships Between Master Regulators(Increases/Upstream)	Relationships Between Master Regulators(Decreases/Upstream)	Relationships Between Master Regulators(Affects/Upstream)	Relationships Between Master Regulators(Increases/Both)	Relationships Between Master Regulators(Decreases/Both)	Relationships Between Master Regulators(Affects/Both)	
MLIP	other	1	 	 	0.000	5.07E-07	1.00E-04	MLIP	 	2 (1)	1	 	 	 	SLC2A1	EIF4EBP1	 	 	 	 	
sialic acids	chemical - other	3	 	 	0.000	6.78E-06	2.90E-03	CDH5,EGFR,ERK1/2,LYN,NFkB (complex),PI3K (complex),Sfk,SHC1,sialic acids,SRC,STAT3,TCR	 	8 (12)	9	 	 	 	 	 	 	 	 	 	
ATG7	enzyme	1	 	 	0.000	1.15E-05	2.00E-04	ATG7	 	3 (1)	1	TRPM2	PI3K (family)	 	SLC2A1	ATF4	 	 	 	 	
resimmune	biologic drug	3	 	 	0.000	1.16E-05	3.70E-03	AMPK,CD247,ERK1/2,HRAS,ITK,LAT,MAPK1,NFkB (complex),PI3K (complex),resimmune,SHC1,TCR,ZAP70	 	8 (13)	9	 	 	 	ZAP70	 	 	 	 	 	
SIGLEC7	transmembrane receptor	3	 	 	0.000	1.23E-05	4.60E-03	CSF2,ERK1/2,Nfat (family),NFkB (complex),PI3K (complex),SHC1,SIGLEC7,TCR,ZAP70	 	8 (9)	6	TCR	 	 	 	ZAP70	 	 	 	 	
SMAD2	transcription regulator	2	 	 	0.000	1.95E-05	5.50E-03	ERK1/2,MTOR,SKIL,SMAD2,SP1,STAT3,TGFB1	 	8 (7)	6	IL5,SDC2	NEDD4L,NOS1,SMAD6	 	 	 	 	 	 	 	
PIK3CB	kinase	1	 	 	0.000	2.28E-05	2.00E-04	PIK3CB	 	2 (1)	1	SRC,TCR	pictilisib	 	PI3K (family),SLC2A1	 	 	 	 	 	
ZAP70	kinase	2	 	 	0.000	2.56E-05	8.70E-03	ERK1/2,NFkB (complex),PI3K (complex),SHC1,TCR,ZAP70	 	7 (6)	5	resimmune,SRC	SIGLEC7	 	NFE2	 	 	 	 	 	
TCR	complex	1	 	 	0.000	3.05E-05	6.00E-04	TCR	 	4 (1)	1	 	FN1	 	CSF2,GATA3,IL5,PIK3CB,PRMT1,SIGLEC7,SLC2A1,STAT4,TGFB1	BAD,SDHA	 	 	 	 	
abatacept	biologic drug	3	 	 	0.000	3.55E-05	9.00E-03	abatacept,CD80,CD86,IDO1,IFNG,IL4,PI3K (complex)	 	8 (7)	4	 	 	 	IDO1	 	 	 	 	 	
CD46	other	1	 	 	0.000	6.86E-05	8.00E-04	CD46	 	2 (1)	1	SRC,SYVN1	TGFB1	 	SLC2A1	 	 	 	 	 	
L-dopa	chemical - endogenous mammalian	1	 	 	0.000	9.19E-05	5.00E-04	L-dopa	 	5 (1)	1	 	 	 	C1QTNF12,IDO1,NEDD4L,SLC2A1	PRKD3,SKP2	 	 	 	 	
NEDD4L	enzyme	2	 	 	0.000	9.21E-05	1.62E-02	NEDD4L,PIK3R1,SGK1,SKIL,TGFB1	 	7 (5)	4	L-dopa	 	 	 	SMAD2,TGFB1	 	 	 	 	
IDO1	enzyme	1	 	 	0.000	9.57E-05	4.00E-04	IDO1	 	2 (1)	1	abatacept,CSF2,hemin,L-dopa	2-mercaptoethanol	 	 	FCGR1A,GATA3,mir-143	 	 	 	 	
PRMT1	enzyme	1	 	 	0.000	9.57E-05	7.00E-04	PRMT1	 	2 (1)	1	TCR	 	 	FTH1,KLF1,NFE2	 	 	 	 	 	
FURIN	peptidase	2	 	 	0.000	1.08E-04	1.86E-02	AKT1,BMP4,ERK1/2,FURIN,MMP9,TGFB1	 	7 (6)	5	STAT4	 	 	ADAM12	 	 	 	 	 	
SDC2	other	2	 	 	0.000	1.10E-04	1.28E-02	CSF2,MAPK1,PI3K (complex),SDC2	 	6 (4)	3	 	 	 	SMAD2	 	 	 	 	 	
BAD	other	2	 	 	0.000	1.11E-04	5.90E-03	BAD,BAX,CSF2	 	5 (3)	2	dichloroacetic acid,STAT4	IL3,PAK4,PI3K (family),PRKCI,TCR,TGFB1	 	 	 	 	 	 	 	
SYVN1	transporter	1	 	 	0.000	1.26E-04	8.00E-04	SYVN1	 	3 (1)	1	 	 	 	CD46,DAG1,SLC2A1	HMGCR	 	 	 	 	
CLC	enzyme	3	 	 	0.000	1.35E-04	9.80E-03	CEBPA,CLC,HRAS,IL6ST,JAK1,JAK2,MITF,NOS2,PI3K (complex),SHC1,SP1,STAT1,STAT3,STAT4,TYK2	 	9 (15)	9	 	 	 	 	 	 	 	 	 	
CRLF1	other	3	 	 	0.000	1.38E-04	1.03E-02	CEBPA,CRLF1,HRAS,IL6ST,JAK1,JAK2,MITF,NOS2,PI3K (complex),SHC1,SP1,STAT,STAT1,STAT3,STAT4,TYK2	 	9 (16)	9	 	 	 	 	 	 	 	 	 	
IL5	cytokine	2	 	 	0.000	1.54E-04	2.62E-02	ERK1/2,HRAS,IL5,LYN,MAPK1,PI3K (complex)	 	7 (6)	6	GATA3,TCR	dichloroacetic acid,ganglioside GD1b,hemin,PPIA	 	ATF4,CA4,CSF2RB,EIF4EBP1,Ggt,HMGCR,NFE2,SLC2A1,SMAD2	 	 	 	 	 	
8-epi-prostaglandin F2alpha	chemical - endogenous mammalian	3	 	 	0.000	1.56E-04	3.70E-03	8-epi-prostaglandin F2alpha,EDN1,HRAS,MITF,MMP9,MYC,SHC1,SP1,TGFB1,VEGFA	 	9 (10)	9	 	hemin	 	 	 	 	 	 	 	
WSB1	enzyme	2	 	 	0.000	1.86E-04	3.50E-03	HIPK2,VHL,WSB1	 	3 (3)	2	 	 	 	 	VHL	 	 	 	 	
CSF2	cytokine	1	 	 	0.000	1.96E-04	5.20E-03	CSF2	 	4 (1)	1	ELANE,FN1,IL3,RET,SRC,TCR	caffeic acid phenethyl ester,hemin	 	CD38,collagen,CSF1,CSF2RB,EIF4EBP1,Ggt,HMGCR,IDO1,NFE2,SLC2A1,SLC2A4	FCGR1A,KLF1	 	 	 	 	
FCGR1A	transmembrane receptor	2	 	 	0.000	2.21E-04	1.59E-02	ERK1/2,FCGR1A,LYN,PI3K (family),SHC1	 	5 (5)	4	 	CSF2,IDO1,TGFB1	 	PI3K (family)	 	 	 	 	 	
nintedanib	chemical drug	2	 	 	0.000	2.33E-04	6.40E-03	FLT1,LYN,nintedanib,SRC	 	4 (4)	3	 	 	 	 	SRC	 	 	 	 	
TGFB1	growth factor	1	 	 	0.000	2.45E-04	2.16E-02	TGFB1	 	6 (1)	1	4-hydroxynonenal,caffeic acid phenethyl ester,ferric chloride,TCR	MMP8,NEDD4L,SMPD1	 	ADAM12,Alpha 1 antitrypsin,collagen,CSF1,EIF4EBP1,FLNA,mir-143,NOX4,PINK1,SLC2A1,SRC	APOC2,BAD,CD46,FCGR1A,FTH1,GATA3,HEXIM1,STAT4	 	 	 	 	
